Program Name,Database Topic,Duration Length,Geographic Location,Price Range ,Min Year,Max Year,REQ: Major,Language(s),MIN: GPA
Global Internship Program (Auckland),Business,Summer,New Zealand,2,2,4,N/A,N/A,3
Global Internship Program (Dublin),Business,Summer,Europe,2,2,4,N/A,N/A,3
Global Internship Program (Hong Kong),Business,Summer,Asia,2,2,4,N/A,N/A,3
Global Internship Program (Madrid),Business,Summer,Europe,2,2,4,N/A,N/A,3
Global Internship Program (Prague),Business,Summer,Europe,2,2,4,N/A,N/A,3
Global Internship Program (Singapore),Business,Summer,Asia,2,2,4,N/A,N/A,3
Global Internship Program (Sydney),Business,Summer,Australia,2,2,4,N/A,N/A,3
Maryland Social Entrepreneur Corps (MSEC),Business,Summer,South America,2,1,3,N/A,N/A,3
Maryland Social Entrepreneur Corps (MSEC),Business,Summer,South America,2,1,3,N/A,N/A,3
Accounting Future-Present-and Past,Business,Short-term (Winter),Europe,1,1,4,Accounting,N/A,3
Social Entrepreneurship in the Contemporary South African Context,Business,Short-term (Winter),Africa,1,1,4,N/A,N/A,3
A Comparative Study between U.S. Business and Business in Brazil,Business,Short-term (Spring),South America,1,1,4,N/A,N/A,3
Guanghua School of Management,Business,Semester,Asia,3,1,4,BMGT,N/A,3
Hong Kong University of Sciences and Technology,Business,Semester,Asia,3,1,4,BMGT,N/A,3
University of Hong Kong,Business,Semester,Asia,3,1,4,BMGT,N/A,3
Shanghai Jiao Tong University,Business,Semester,Asia,4,1,4,BMGT,N/A,3
Singapore Management University,Business,Semester,Asia,4,1,4,BMGT,N/A,3
National Taiwan University,Business,Semester,Asia,4,1,4,BMGT,N/A,3
RMIT Vietnam,Business,Semester,Asia,4,1,4,BMGT,N/A,3
RMIT,Business,Semester,Australia,4,1,4,BMGT,N/A,3
University of Melbourne,Business,Semester,Australia,4,1,4,BMGT,N/A,3
University of New South Wales,Business,Semester,Australia,4,1,4,BMGT,N/A,3
Vienna University of Business and Economics,Business,Semester,Europe,4,1,4,BMGT,N/A,3
Solvay Brussels School of Economics and Management,Business,Semester,Europe,4,1,4,BMGT,N/A,3
Copenhagen Business School,Business,Semester,Europe,4,1,4,BMGT,N/A,3
SKEMA Business School,Business,Semester,Europe,4,1,4,BMGT,N/A,3
WHU Beisheim School of Management,Business,Semester,Europe,4,1,4,BMGT,N/A,3
Universita Comerciale Luigi Bocconi,Business,Semester,Europe,4,1,4,BMGT,N/A,3
IE University,Business,Semester,Europe,4,1,4,BMGT,N/A,3
University of Navarra,Business,Semester,Europe,4,1,4,BMGT,N/A,3
Cass Business School,Business,Semester,Europe,4,1,4,BMGT,N/A,3
Maryland-in-Barcelona,Business,Semester,Europe,2,1,4,N/A,N/A,3
Maryland-in-Barcelona,Business,Year,Europe,3,1,4,N/A,N/A,3
Maryland-in-Rome,Business,Semester,Europe,2,1,4,N/A,N/A,2.8
Maryland-in-Rome,Business,Summer,Europe,2,1,4,N/A,N/A,2.8
Maryland-in-Rome,Business,Year,Europe,3,1,4,N/A,N/A,2.8
Summer in TI_bingen,Arts and Culture,Summer,Europe,1,1,4,N/A,German,2.8
The Education Abroad Network (TEAN): Australian Environment-Wildlife-and Conservation,STEM,Summer,Australia,2,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): AUT Summer Rugby Program,Social Sciences,Summer,New Zealand,2,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Bond University,Social Sciences,Semester,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Bond University,Social Sciences,Summer,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Bond University,Health,Semester,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Bond University,Health,Summer,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Bond University,Business,Summer,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Bond University,Business,Year,Australia,4,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): James Cook University,Social Sciences,Semester,Australia,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): James Cook University,Health,Semester,Australia,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): James Cook University,STEM,Semester,Australia,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): James Cook University,Arts and Culture,Semester,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Macquarie University,Business,Semester,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Macquarie University,Health,Semester,Australia,3,1,4,N/A,N/A,N/A
The Education Abroad Network (TEAN): Queensland University of Technology (QUT),Social Sciences,Semester,Australia,3,1,4,N/A,N/A,N/A
The Education Abroad Network (TEAN): Queensland University of Technology (QUT),STEM,Semester,Australia,3,1,4,N/A,N/A,N/A
The Education Abroad Network (TEAN): Queensland University of Technology (QUT),Business,Semester,Australia,3,1,4,N/A,N/A,N/A
The Education Abroad Network (TEAN):  Royal Melbourne Institute of Technology (RMIT),Arts and Culture,Semester,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Queensland University of Technology (QUT),Business,Semester,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN): Queensland University of Technology (QUT),STEM,Semester,Australia,3,1,4,N/A,N/A,2.5
The Education Abroad Network (TEAN):  University of Auckland,Arts and Culture,Semester,New Zealand,3,1,4,N/A,N/A,3
The Education Abroad Network (TEAN): University of Auckland,Business,Semester,New Zealand,3,1,4,N/A,N/A,3
The Education Abroad Network (TEAN): University of Auckland,Social Sciences,Semester,New Zealand,3,1,4,N/A,N/A,3
The Education Abroad Network (TEAN): University of Canterbury,Arts and Culture,Semester,New Zealand,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): University of Canterbury,Business,Semester,New Zealand,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): University of Canterbury,STEM,Semester,New Zealand,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): University of Sydney,Arts and Culture,Semester,Australia,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): University of Sydney,STEM,Semester,Australia,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): University of Sydney,Health,Semester,Australia,3,1,4,N/A,N/A,2.8
The Education Abroad Network (TEAN): Victoria University of Wellington,Arts and Culture,Semester,New Zealand,3,1,4,N/A,N/A,2.7
The Education Abroad Network (TEAN): Victoria University of Wellington,Social Sciences,Semester,New Zealand,3,1,4,N/A,N/A,2.7
The Education Abroad Network (TEAN): Victoria University of Wellington,Business,Semester,New Zealand,3,1,4,N/A,N/A,2.7
IES Abroad Amsterdam: Pre-Law Certificate/Law & Criminology,Social Sciences,Fall/Spring,Europe,3,1,4,N/A,Dutch,3
IES Abroad Cape Town Summer: Health Studies,Health,Summerterm,Africa,2,1,4,N/A,N/A,2.8
IES Abroad Freiburg: Environmental Studies & Sustainability,Social Sciences,Semester,Europe,4,1,4,N/A,N/A,2.8
IES Abroad Freiburg: Environmental Studies & Sustainability,Social Sciences,Year,Europe,4,1,4,N/A,N/A,2.8
IES Abroad: Galapagos Islands (GAIAS),Social Sciences,Fall/Spring,South America,4,1,4,N/A,N/A,3
IES Abroad London: Study London,Arts and Culture/Social Sciences/Business,Semester,Europe,3,1,4,N/A,N/A,2.7
IES Abroad London: Study London,Arts and Culture/Social Sciences/Business,Year,Europe,4,1,4,N/A,N/A,2.7
IES Abroad London: City University,Business/STEM/Social Sciences,Semester,Europe,3,1,4,N/A,N/A,3
IES Abroad London: City University,Business/STEM/Social Sciences,Year,Europe,4,1,4,N/A,N/A,3
IES Abroad Madrid: Engineering-Architecture-Science,STEM/Social Sciences/Arts and Culture,Semester,Europe,3,1,4,Engineering/ Architecture & Science,Spanish,3
IES Abroad Paris: Business & International Affairs,Business/Social Sciences/Arts and Culture,Semester,Europe,3,1,4,N/A,French,3
IES Abroad Paris: Business & International Affairs,Business/ Social Sciences/ Arts and Culture,Year,Europe,4,1,4,N/A,French,3
IES Abroad Paris: French Studies,Language/ Social Sciences/ Arts and Culture,Semester,Europe,3,1,4,N/A,French,2.8
IES Abroad Paris: French Studies,Language/ Social Sciences/ Arts and Culture,Year,Europe,4,1,4,N/A,French,2.8
IES Abroad Quito: Area Studies & Language,Language/ Social Sciences/ Arts and Culture,Semester,South America,3,1,4,N/A,Spanish,2.8
IES Abroad Quito: Area Studies & Language,Language/ Social Sciences/ Arts and Culture,Year,South America,4,1,4,N/A,Spanish,2.8
IES Abroad Quito and Gallapagos Islands Summer:Environmental Studies,Language/ Social Sciences,Summer,South America,2,1,4,N/A,Spanish,2.8
IES Abroad Rabat: Study in Rabat,Language/ Social Sciences/ Arts and Culture,Semester,Africa,3,1,4,N/A,Arabic,2.8
IES Abroad Rabat: Study in Rabat,Language/ Social Sciences/ Arts and Culture,Year,Africa,4,1,4,N/A,Arabic,2.8
IES Abroad Rabat Summer,Language,Summer,Africa,2,1,4,N/A,Arabic,2.8
IES Abroad Santiago: Study in Santiago,Language/ Social Sciences,Semester,South America,3,1,4,N/A,Spanish,2.8
IES Abroad Santiago: Study in Santiago,Language/ Social Sciences,Year,South America,4,1,4,N/A,Spanish,2.8
IES Abroad Santiago Summer: Health Studies,Health/ Language,Summer,South America,2,1,4,Health,Spanish ,2.8
IES Abroad Tokyo Summer,Language,Summer,Asia,2,1,4,N/A,Japanese,2.8
IES Abroad Vienna: European Society & Culture,Social Sciences/ Business/ Language,Semester,Europe,4,1,4,N/A,German,2.8
IES Abroad Vienna: European Society & Culture,Social Sciences/ Business/ Language,Year,Europe,4,1,4,N/A,German,2.8
IES Abroad Vienna: Music,Language/ Social Sciences/ Arts and Culture/ Business,Semester,Europe,4,1,4,N/A,German,2.8
IES Abroad Vienna: Music,Language/ Social Sciences/ Arts and Culture/ Business,Year,Europe,4,1,4,N/A,German,2.8
CIEE Amsterdam to London Summer Comparative: Public Health Systems Multi-Site Program,Health,Summer,Europe,2,1,4,N/A,N/A,2.8
CIEE Arts and Sciences Program in Cape Town/ South Africa,STEM/ Arts and Culture/ Social Sciences/ Business,Semester,Africa,3,1,4,N/A,N/A,3
CIEE Arts and Sciences Program in Cape Town/ South Africa,STEM/ Arts and Culture/ Social Sciences/ Business,Year,Africa,4,1,4,N/A,N/A,3
CIEE Arts and Sciences Program in Dublin/ Ireland,Social Sciences/ Arts and Culture/ Business/ STEM/ Health,Semester,Europe,3,1,4,N/A,N/A,3
CIEE Arts and Sciences Program in Dublin/ Ireland,Social Sciences/ Arts and Culture/ Business/ STEM/ Health,Year,Europe,4,1,4,N/A,N/A,3
CIEE Arts and Sciences Program in London/ England - University College London,Arts and Culture/ STEM/ Social Sciences,Semester,Europe,4,1,4,N/A,N/A,3.3
CIEE Arts and Sciences Program in London/ England - University College London,Arts and Culture/ STEM/ Social Sciences,Year,Europe,4,1,4,N/A,N/A,3.3
CIEE Arts and Sciences Program in London/ England - University of Westminster,Arts and Culture/ STEM/ Social Sciences,Semester,Europe,3,1,4,N/A,N/A,2.8
CIEE Arts and Sciences Program in London/ England - University of Westminster,Arts and Culture/ STEM/ Social Sciences,Year,Europe,4,1,4,N/A,N/A,2.8
CIEE Arts and Sciences Program in Tokyo/ Japan,Language/ Arts and Culture/ Social Sciences/ Business,Semester,Asia,4,1,4,N/A,N/A,3
CIEE Arts and Sciences Program in Tokyo/ Japan,Language/ Arts and Culture/ Social Sciences/ Business,Year,Asia,4,1,4,N/A,N/A,3
CIEE Business/ Engineering/ Arts and Sciences Program in Sharjah/ United Arab Emirates,Business/ Engineering/ Arts and Sciences,Semester,Asia,3,1,4,N/A,N/A,2.8
CIEE Business/ Engineering/ Arts and Sciences Program in Sharjah/ United Arab Emirates,Business/ Engineering/ Arts and Sciences,Year,Asia,4,1,4,N/A,N/A,2.8
CIEE Community Public Health Program in Gaborone/ Botswana,Language/ Health/ Arts and Culture/ Business/ STEM/ Social Sciences,Semester,Africa,3,1,4,N/A,N/A,2.8
CIEE Development Studies Program in Dakar/ Senegal,Language/ Social Sciences/ Health,Semester,Africa,3,1,4,N/A,French,2.5
